"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
1,4,1000,0.01,0.008,0.016,87.1,-49856.4895,0.598,0.01,0.608
1,4,10000,0.01,0.0051,0.0206,90.2,-339327.4962,1.609,0.005,1.628
1,4,1,0.001,0.0548,0.0582,785.8,-592.1901,1.622,0.07,1.698
1,4,10,0.001,0.0291,0.0318,382.6,-2922.0151,0.872,0.03,0.91
1,4,100,0.001,0.0175,0.0196,199.2,-15739.8501,0.523,0.006,0.538
1,4,1000,0.001,0.0149,0.018,127.5,-102200.1566,0.48,0.005,0.489
1,4,10000,0.001,0.0107,0.0144,89.6,-668635.989,0.725,0.003,0.732
1,4,1,1e-04,0.0811,0.0866,1780,-1317.4205,2.871,0.127,3.01
1,4,10,1e-04,0.0589,0.0612,789.1,-6054.7624,1.464,0.04,1.524
1,4,100,1e-04,0.0468,0.048,413,-33854.5868,0.82,0.014,0.838
1,4,1000,1e-04,0.0352,0.0394,269.3,-229065.8725,0.668,0.003,0.677
1,4,10000,1e-04,0.0174,0.0198,184.5,-1480584.9676,0.595,0.006,0.604
1,5,1,1,0.0011,0.0126,881.4,-177.2065,1.759,0.105,1.873
1,5,10,1,0,0.0148,884.5,-188.7784,1.767,0.078,1.879
1,5,100,1,0,0.017,887.8,-190.2626,1.802,0.104,1.949
1,5,1000,1,0,0.0148,890.2,-187.3545,1.818,0.094,1.947
1,5,10000,1,0,0.0137,887.8,-188.1172,1.794,0.078,1.888
1,5,1,0.1,0.0085,0.011,147.1,-86.3751,0.388,0.003,0.397
1,5,10,0.1,0.0033,0.0108,96.6,-331.8474,0.336,0,0.338
1,5,100,0.1,2e-04,0.0151,88.3,-815.4211,0.373,0.003,0.375
1,5,1000,0.1,0,0.016,83.9,-1124.5564,0.373,0.002,0.389
1,5,10000,0.1,0,0.0173,89.6,-1281.3104,0.389,0,0.408
1,5,1,0.01,0.0121,0.0134,241.1,-171.6306,0.597,0,0.613
1,5,10,0.01,0.0094,0.0116,112.5,-849.4445,0.351,0.003,0.372
1,5,100,0.01,0.0078,0.0118,78.2,-5309.54,0.382,0.003,0.405
